SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000004538	Rpl6Ap	YML073C	39839.0	molecules/cell
S000004539	Fpr3p	YML074C	10307.0	molecules/cell
S000004540	Hmg1p	YML075C	4026.0	molecules/cell
S000004541	War1p	YML076C	1383.0	molecules/cell
S000004542	Bet5p	YML077W	1226.0	molecules/cell
S000004543	Cpr3p	YML078W	17217.0	molecules/cell
S000004544	Cff1p	YML079W	6010.0	molecules/cell
S000004545	Dus1p	YML080W	2551.0	molecules/cell
S000004546	Tda9p	YML081W	1550.0	molecules/cell
S000004547	Yml082Wp	YML082W	2780.0	molecules/cell
S000004548	Yml083Cp	YML083C	1275.0	molecules/cell
S000004549	Yml084Wp	YML084W	""	""
S000004550	Tub1p	YML085C	11926.0	molecules/cell
S000004551	Alo1p	YML086C	9493.0	molecules/cell
S000004552	Aim33p	YML087C	""	molecules/cell
S000004553	Ufo1p	YML088W	702.0	molecules/cell
S000004554	Yml089Cp	YML089C	""	""
S000004555	Yml090Wp	YML090W	""	""
S000004556	Rpm2p	YML091C	1826.0	molecules/cell
S000004557	Pre8p	YML092C	20654.0	molecules/cell
S000004558	Utp14p	YML093W	4748.0	molecules/cell
S000004559	Gim5p	YML094W	4963.0	molecules/cell
S000004560	Rad10p	YML095C	1415.0	molecules/cell
S000004561	Yml094C-Ap	YML094C-A	""	""
S000004562	Yml096Wp	YML096W	1630.0	molecules/cell
S000004563	Vps9p	YML097C	3094.0	molecules/cell
S000004564	Taf13p	YML098W	1522.0	molecules/cell
S000004565	Arg81p	YML099C	251.0	molecules/cell
S000004566	Tsl1p	YML100W	12628.0	molecules/cell
S000004567	Yml099W-Ap	YML099W-A	""	""
S000004568	Cue4p	YML101C	3359.0	molecules/cell
S000004569	Yml101C-Ap	YML101C-A	""	""
S000004570	Cac2p	YML102W	2486.0	molecules/cell
