up:P19146	sce:YDL137W
up:Q12300	sce:YDL138W
up:Q12334	sce:YDL139C
up:P04050	sce:YDL140C
up:P48445	sce:YDL141W
up:Q07560	sce:YDL142C
up:P39078	sce:YDL143W
up:Q07589	sce:YDL144C
up:P53622	sce:YDL145C
up:Q12342	sce:YDL146W
up:Q12250	sce:YDL147W
up:Q99207	sce:YDL148C
up:Q12142	sce:YDL149W
up:P25441	sce:YDL150W
up:Q12136	sce:YDL153C
up:Q12175	sce:YDL154W
up:P24870	sce:YDL155W
up:Q12510	sce:YDL156W
up:Q12082	sce:YDL157C
up:P06784	sce:YDL159W
up:Q3E774	sce:YDL159W-A
up:P39517	sce:YDL160C
up:Q3E829	sce:YDL160C-A
up:Q12518	sce:YDL161W
up:P04819	sce:YDL164C
up:P06100	sce:YDL165W
up:Q12055	sce:YDL166C
up:P32770	sce:YDL167C
up:P32771	sce:YDL168W
up:P32772	sce:YDL169C
up:P26370	sce:YDL170W
up:Q12680	sce:YDL171C
up:Q12515	sce:YDL173W
up:P32891	sce:YDL174C
up:Q12476	sce:YDL175C
up:Q12027	sce:YDL176W
up:Q12257	sce:YDL177C
up:P46681	sce:YDL178W
up:Q12477	sce:YDL179W
up:Q12301	sce:YDL180W
up:P01097	sce:YDL181W
up:P48570	sce:YDL182W
up:P48569	sce:YDL183C
up:P0CX86	sce:YDL184C
up:P0CX87	sce:YDL184C
up:P17255	sce:YDL185W
up:P48568	sce:YDL186W
up:P23595	sce:YDL188C
up:Q05672	sce:YDL189W
up:P54860	sce:YDL190C
up:P0CX84	sce:YDL191W
up:P0CX85	sce:YDL191W
up:P11076	sce:YDL192W
up:Q12063	sce:YDL193W
up:P10870	sce:YDL194W
up:P38968	sce:YDL195W
up:P32448	sce:YDL197C
up:P38988	sce:YDL198C
up:Q12407	sce:YDL199C
up:P26188	sce:YDL200C
up:Q12009	sce:YDL201W
up:P36521	sce:YDL202W
up:Q07622	sce:YDL203C
up:Q12443	sce:YDL204W
up:P28789	sce:YDL205C
up:Q12424	sce:YDL206W
up:Q12315	sce:YDL207W
